x_m,y_m,w_tr_right_m,w_tr_left_m
9.04,1.44,0.838,0.838
9.09,1.39,0.838,0.838
9.14,1.39,0.854,0.854
9.19,1.39,0.873,0.873
9.24,1.44,0.901,0.901
9.29,1.44,0.912,0.912
9.34,1.44,0.922,0.922
9.39,1.44,0.919,0.919
9.44,1.44,0.901,0.901
9.49,1.49,0.919,0.919
9.54,1.49,0.922,0.922
9.59,1.49,0.912,0.912
9.64,1.49,0.901,0.901
9.69,1.49,0.886,0.886
9.74,1.54,0.922,0.922
9.79,1.59,0.962,0.962
9.84,1.64,0.943,0.943
9.89,1.69,0.93,0.93
9.94,1.74,0.922,0.922
9.99,1.79,0.919,0.919
10.04,1.84,0.918,0.918
10.09,1.89,0.901,0.901
10.14,1.94,0.89,0.89
10.19,1.99,0.875,0.875
10.24,2.04,0.86,0.86
10.29,2.09,0.85,0.85
10.34,2.09,0.849,0.849
10.39,2.14,0.832,0.832
10.44,2.19,0.82,0.82
10.49,2.24,0.806,0.806
10.54,2.29,0.791,0.791
10.59,2.34,0.781,0.781
10.64,2.34,0.778,0.778
10.69,2.39,0.781,0.781
10.74,2.44,0.791,0.791
10.79,2.49,0.783,0.783
10.84,2.49,0.778,0.778
10.89,2.54,0.781,0.781
10.94,2.59,0.763,0.763
10.99,2.59,0.763,0.763
11.04,2.64,0.781,0.781
11.09,2.69,0.765,0.765
11.14,2.69,0.763,0.763
11.19,2.69,0.738,0.738
11.24,2.74,0.757,0.757
11.29,2.74,0.738,0.738
11.34,2.79,0.728,0.728
11.39,2.79,0.738,0.738
11.44,2.79,0.716,0.716
11.49,2.84,0.738,0.738
11.54,2.84,0.716,0.716
11.59,2.89,0.743,0.743
11.64,2.89,0.728,0.728
11.69,2.94,0.762,0.762
11.74,2.94,0.743,0.743
11.79,2.94,0.728,0.728
11.84,2.99,0.765,0.765
11.89,2.99,0.757,0.757
11.94,2.99,0.743,0.743
11.99,3.04,0.75,0.75
12.04,3.04,0.75,0.75
12.09,3.04,0.752,0.752
12.14,3.04,0.743,0.743
12.19,3.04,0.728,0.728
12.24,3.04,0.716,0.716
12.29,3.04,0.707,0.707
12.34,3.09,0.75,0.75
12.39,3.09,0.743,0.743
12.44,3.09,0.728,0.728
12.49,3.09,0.716,0.716
12.54,3.09,0.707,0.707
12.59,3.09,0.702,0.702
12.64,3.09,0.7,0.7
12.69,3.09,0.7,0.7
12.74,3.09,0.7,0.7
12.79,3.09,0.7,0.7
12.84,3.09,0.7,0.7
12.89,3.09,0.7,0.7
12.94,3.09,0.7,0.7
12.99,3.09,0.7,0.7
13.04,3.09,0.7,0.7
13.09,3.14,0.75,0.75
13.14,3.14,0.75,0.75
13.19,3.14,0.75,0.75
13.24,3.14,0.75,0.75
13.29,3.14,0.75,0.75
13.34,3.14,0.75,0.75
13.39,3.14,0.75,0.75
13.44,3.14,0.75,0.75
13.49,3.14,0.743,0.743
