x_m,y_m,w_tr_right_m,w_tr_left_m
-48.925,10.125,29.032,29.032
-48.925,10.175,29.038,29.038
-48.925,10.225,29.044,29.044
-48.925,10.275,29.05,29.05
-48.925,10.325,29.056,29.056
-48.925,10.375,29.062,29.062
-48.925,10.425,29.068,29.068
-48.925,10.475,29.074,29.074
-48.925,10.525,29.08,29.08
-48.925,10.575,29.086,29.086
-48.925,10.625,29.093,29.093
-48.925,10.675,29.099,29.099
-48.925,10.725,29.106,29.106
-48.925,10.775,29.112,29.112
-48.925,10.825,29.119,29.119
-48.925,10.875,29.126,29.126
-48.925,10.925,29.133,29.133
-48.925,10.975,29.14,29.14
-48.925,11.025,29.147,29.147
-48.925,11.075,29.154,29.154
-48.875,11.125,29.112,29.112
-48.875,11.175,29.119,29.119
-48.875,11.225,29.127,29.127
-48.875,11.275,29.134,29.134
-48.875,11.325,29.142,29.142
-48.875,11.375,29.149,29.149
-48.875,11.425,29.157,29.157
-48.875,11.475,29.165,29.165
-48.875,11.525,29.173,29.173
-48.875,11.575,29.181,29.181
-48.875,11.625,29.189,29.189
-48.875,11.675,29.197,29.197
-48.875,11.725,29.206,29.206
-48.875,11.775,29.214,29.214
-48.875,11.825,29.222,29.222
-48.875,11.875,29.231,29.231
-48.875,11.925,29.239,29.239
-48.875,11.975,29.248,29.248
-48.875,12.025,29.257,29.257
-48.875,12.075,29.266,29.266
-48.875,12.125,29.275,29.275
-48.875,12.175,29.284,29.284
-48.875,12.225,29.293,29.293
-48.825,12.275,29.253,29.253
-48.825,12.325,29.262,29.262
-48.825,12.375,29.271,29.271
-48.825,12.425,29.28,29.28
-48.825,12.475,29.289,29.289
-48.825,12.525,29.297,29.297
-48.825,12.575,29.306,29.306
-48.825,12.625,29.315,29.315
-48.825,12.675,29.324,29.324
-48.825,12.725,29.333,29.333
-48.825,12.775,29.342,29.342
-48.825,12.825,29.351,29.351
-48.825,12.875,29.36,29.36
-48.825,12.925,29.37,29.37
-48.825,12.975,29.379,29.379
-48.825,13.025,29.387,29.387
-48.775,13.075,29.347,29.347
-48.775,13.125,29.355,29.355
-48.775,13.175,29.364,29.364
-48.775,13.225,29.373,29.373
-48.775,13.275,29.382,29.382
-48.775,13.325,29.391,29.391
-48.775,13.375,29.4,29.4
-48.775,13.425,29.409,29.409
-48.775,13.475,29.419,29.419
-48.775,13.525,29.428,29.428
-48.775,13.575,29.436,29.436
-48.775,13.625,29.445,29.445
-48.775,13.675,29.454,29.454
-48.775,13.725,29.463,29.463
-48.725,13.775,29.422,29.422
-48.725,13.825,29.431,29.431
-48.725,13.875,29.44,29.44
-48.725,13.925,29.449,29.449
-48.725,13.975,29.459,29.459
-48.725,14.025,29.468,29.468
-48.725,14.075,29.477,29.477
-48.725,14.125,29.487,29.487
-48.725,14.175,29.496,29.496
-48.725,14.225,29.506,29.506
-48.725,14.275,29.516,29.516
-48.725,14.325,29.525,29.525
-48.675,14.375,29.486,29.486
-48.675,14.425,29.496,29.496
-48.675,14.475,29.506,29.506
-48.675,14.525,29.516,29.516
-48.675,14.575,29.525,29.525
-48.675,14.625,29.535,29.535
-48.675,14.675,29.545,29.545
-48.675,14.725,29.555,29.555
-48.675,14.775,29.565,29.565
-48.675,14.825,29.575,29.575
-48.675,14.875,29.586,29.586
-48.675,14.925,29.596,29.596
-48.625,14.975,29.558,29.558
-48.625,15.025,29.568,29.568
-48.625,15.075,29.579,29.579
-48.625,15.125,29.589,29.589
-48.625,15.175,29.6,29.6
-48.625,15.225,29.611,29.611
-48.625,15.275,29.622,29.622
-48.625,15.325,29.633,29.633
-48.625,15.375,29.644,29.644
-48.625,15.425,29.655,29.655
-48.625,15.475,29.666,29.666
-48.625,15.525,29.678,29.678
-48.575,15.575,29.641,29.641
-48.575,15.625,29.652,29.652
-48.575,15.675,29.664,29.664
-48.575,15.725,29.675,29.675
-48.575,15.775,29.687,29.687
-48.575,15.825,29.699,29.699
-48.575,15.875,29.711,29.711
-48.575,15.925,29.723,29.723
-48.575,15.975,29.735,29.735
-48.575,16.025,29.747,29.747
-48.575,16.075,29.759,29.759
-48.575,16.125,29.771,29.771
-48.525,16.175,29.735,29.735
-48.525,16.225,29.747,29.747
-48.525,16.275,29.759,29.759
-48.525,16.325,29.772,29.772
-48.525,16.375,29.784,29.784
-48.525,16.425,29.796,29.796
-48.525,16.475,29.809,29.809
-48.525,16.525,29.822,29.822
-48.525,16.575,29.834,29.834
-48.525,16.625,29.847,29.847
-48.525,16.675,29.86,29.86
-48.525,16.725,29.873,29.873
-48.475,16.775,29.838,29.838
-48.475,16.825,29.851,29.851
-48.475,16.875,29.864,29.864
-48.475,16.925,29.877,29.877
-48.475,16.975,29.89,29.89
-48.475,17.025,29.904,29.904
-48.475,17.075,29.917,29.917
-48.475,17.125,29.931,29.931
-48.475,17.175,29.945,29.945
-48.475,17.225,29.958,29.958
-48.425,17.275,29.924,29.924
-48.425,17.325,29.938,29.938
-48.425,17.375,29.952,29.952
-48.425,17.425,29.966,29.966
-48.425,17.475,29.98,29.98
-48.425,17.525,29.994,29.994
-48.425,17.575,30.009,30.009
-48.425,17.625,30.023,30.023
-48.425,17.675,30.038,30.038
-48.425,17.725,30.052,30.052
-48.375,17.775,30.019,30.019
-48.375,17.825,30.034,30.034
-48.375,17.875,30.048,30.048
-48.375,17.925,30.063,30.063
-48.375,17.975,30.078,30.078
-48.375,18.025,30.093,30.093
-48.375,18.075,30.108,30.108
-48.375,18.125,30.123,30.123
-48.375,18.175,30.139,30.139
-48.325,18.225,30.106,30.106
-48.325,18.275,30.122,30.122
-48.325,18.325,30.137,30.137
-48.325,18.375,30.153,30.153
-48.325,18.425,30.168,30.168
-48.325,18.475,30.184,30.184
-48.325,18.525,30.2,30.2
-48.325,18.575,30.216,30.216
-48.325,18.625,30.231,30.231
-48.275,18.675,30.2,30.2
-48.275,18.725,30.216,30.216
-48.275,18.775,30.232,30.232
-48.275,18.825,30.248,30.248
-48.275,18.875,30.264,30.264
-48.275,18.925,30.28,30.28
-48.275,18.975,30.296,30.296
-48.275,19.025,30.312,30.312
-48.225,19.075,30.281,30.281
-48.225,19.125,30.298,30.298
-48.225,19.175,30.314,30.314
-48.225,19.225,30.331,30.331
-48.225,19.275,30.348,30.348
-48.225,19.325,30.364,30.364
-48.225,19.375,30.381,30.381
-48.225,19.425,30.398,30.398
-48.175,19.475,30.368,30.368
-48.175,19.525,30.385,30.385
-48.175,19.575,30.402,30.402
-48.175,19.625,30.42,30.42
-48.175,19.675,30.437,30.437
-48.175,19.725,30.454,30.454
-48.175,19.775,30.472,30.472
-48.175,19.825,30.489,30.489
-48.125,19.875,30.459,30.459
-48.125,19.925,30.475,30.475
-48.125,19.975,30.492,30.492
-48.125,20.025,30.509,30.509
-48.125,20.075,30.526,30.526
-48.125,20.125,30.543,30.543
-48.125,20.175,30.56,30.56
-48.075,20.225,30.531,30.531
-48.075,20.275,30.548,30.548
-48.075,20.325,30.565,30.565
-48.075,20.375,30.583,30.583
-48.075,20.425,30.6,30.6
-48.075,20.475,30.617,30.617
-48.075,20.525,30.634,30.634
-48.075,20.575,30.65,30.65
-48.025,20.625,30.62,30.62
-48.025,20.675,30.637,30.637
-48.025,20.725,30.654,30.654
-48.025,20.775,30.672,30.672
-48.025,20.825,30.689,30.689
-48.025,20.875,30.706,30.706
-47.975,20.925,30.677,30.677
-47.975,20.975,30.694,30.694
-47.975,21.025,30.712,30.712
-47.975,21.075,30.729,30.729
-47.975,21.125,30.747,30.747
-47.975,21.175,30.765,30.765
-47.975,21.225,30.783,30.783
-47.925,21.275,30.754,30.754
-47.925,21.325,30.772,30.772
-47.925,21.375,30.79,30.79
-47.925,21.425,30.808,30.808
-47.925,21.475,30.826,30.826
-47.925,21.525,30.844,30.844
-47.925,21.575,30.863,30.863
-47.875,21.625,30.835,30.835
-47.875,21.675,30.853,30.853
-47.875,21.725,30.872,30.872
-47.875,21.775,30.891,30.891
-47.875,21.825,30.909,30.909
-47.875,21.875,30.928,30.928
-47.825,21.925,30.901,30.901
-47.825,21.975,30.92,30.92
-47.825,22.025,30.939,30.939
-47.825,22.075,30.958,30.958
-47.825,22.125,30.977,30.977
-47.825,22.175,30.996,30.996
-47.825,22.225,31.015,31.015
-47.775,22.275,30.989,30.989
-47.775,22.325,31.008,31.008
-47.775,22.375,31.028,31.028
-47.775,22.425,31.047,31.047
-47.775,22.475,31.067,31.067
-47.775,22.525,31.087,31.087
-47.725,22.575,31.061,31.061
-47.725,22.625,31.081,31.081
-47.725,22.675,31.101,31.101
-47.725,22.725,31.121,31.121
-47.725,22.775,31.141,31.141
-47.725,22.825,31.161,31.161
-47.725,22.875,31.181,31.181
-47.675,22.925,31.156,31.156
-47.675,22.975,31.176,31.176
-47.675,23.025,31.197,31.197
-47.675,23.075,31.217,31.217
-47.675,23.125,31.238,31.238
-47.675,23.175,31.259,31.259
-47.625,23.225,31.234,31.234
-47.625,23.275,31.255,31.255
-47.625,23.325,31.276,31.276
-47.625,23.375,31.297,31.297
-47.625,23.425,31.318,31.318
-47.625,23.475,31.339,31.339
-47.575,23.525,31.315,31.315
-47.575,23.575,31.336,31.336
-47.575,23.625,31.357,31.357
-47.575,23.675,31.379,31.379
-47.575,23.725,31.4,31.4
-47.575,23.775,31.422,31.422
-47.525,23.825,31.398,31.398
-47.525,23.875,31.42,31.42
-47.525,23.925,31.442,31.442
-47.525,23.975,31.464,31.464
-47.525,24.025,31.485,31.485
-47.525,24.075,31.507,31.507
-47.475,24.125,31.484,31.484
-47.475,24.175,31.507,31.507
-47.475,24.225,31.529,31.529
-47.475,24.275,31.551,31.551
-47.475,24.325,31.573,31.573
-47.475,24.375,31.596,31.596
-47.425,24.425,31.573,31.573
-47.425,24.475,31.596,31.596
-47.425,24.525,31.618,31.618
-47.425,24.575,31.64,31.64
-47.425,24.625,31.663,31.663
-47.425,24.675,31.685,31.685
-47.375,24.725,31.663,31.663
-47.375,24.775,31.685,31.685
-47.375,24.825,31.707,31.707
-47.375,24.875,31.73,31.73
-47.375,24.925,31.752,31.752
-47.325,24.975,31.73,31.73
-47.325,25.025,31.752,31.752
-47.325,25.075,31.775,31.775
-47.325,25.125,31.797,31.797
-47.325,25.175,31.819,31.819
-47.325,25.225,31.842,31.842
-47.275,25.275,31.819,31.819
-47.275,25.325,31.842,31.842
-47.275,25.375,31.864,31.864
-47.275,25.425,31.886,31.886
-47.275,25.475,31.909,31.909
-47.225,25.525,31.886,31.886
-47.225,25.575,31.909,31.909
-47.225,25.625,31.931,31.931
-47.225,25.675,31.954,31.954
-47.225,25.725,31.977,31.977
-47.175,25.775,31.955,31.955
-47.175,25.825,31.978,31.978
-47.175,25.875,32.0,32.0
-47.175,25.925,32.023,32.023
-47.175,25.975,32.046,32.046
-47.125,26.025,32.025,32.025
-47.125,26.075,32.048,32.048
-47.125,26.125,32.071,32.071
-47.125,26.175,32.095,32.095
-47.125,26.225,32.118,32.118
-47.075,26.275,32.097,32.097
-47.075,26.325,32.121,32.121
-47.075,26.375,32.144,32.144
-47.075,26.425,32.168,32.168
-47.075,26.475,32.191,32.191
-47.025,26.525,32.171,32.171
-47.025,26.575,32.195,32.195
-47.025,26.625,32.219,32.219
-47.025,26.675,32.243,32.243
-47.025,26.725,32.267,32.267
-46.975,26.775,32.247,32.247
-46.975,26.825,32.271,32.271
-46.975,26.875,32.295,32.295
-46.975,26.925,32.32,32.32
-46.975,26.975,32.344,32.344
-46.925,27.025,32.325,32.325
-46.925,27.075,32.349,32.349
-46.925,27.125,32.374,32.374
-46.925,27.175,32.398,32.398
-46.925,27.225,32.423,32.423
-46.875,27.275,32.404,32.404
-46.875,27.325,32.429,32.429
-46.875,27.375,32.454,32.454
-46.875,27.425,32.479,32.479
-46.875,27.475,32.504,32.504
-46.825,27.525,32.485,32.485
-46.825,27.575,32.51,32.51
-46.825,27.625,32.536,32.536
-46.825,27.675,32.561,32.561
-46.825,27.725,32.586,32.586
-46.775,27.775,32.568,32.568
-46.775,27.825,32.594,32.594
-46.775,27.875,32.619,32.619
-46.775,27.925,32.645,32.645
-46.775,27.975,32.671,32.671
-46.725,28.025,32.653,32.653
-46.725,28.075,32.679,32.679
-46.725,28.125,32.705,32.705
-46.725,28.175,32.731,32.731
-46.725,28.225,32.757,32.757
-46.675,28.275,32.74,32.74
-46.675,28.325,32.766,32.766
-46.675,28.375,32.792,32.792
-46.675,28.425,32.818,32.818
-46.675,28.475,32.845,32.845
-46.625,28.525,32.828,32.828
-46.625,28.575,32.855,32.855
-46.625,28.625,32.881,32.881
-46.625,28.675,32.908,32.908
-46.575,28.725,32.892,32.892
-46.575,28.775,32.918,32.918
-46.575,28.825,32.945,32.945
-46.575,28.875,32.972,32.972
-46.575,28.925,32.999,32.999
-46.525,28.975,32.983,32.983
-46.525,29.025,33.01,33.01
-46.525,29.075,33.037,33.037
-46.525,29.125,33.064,33.064
-46.475,29.175,33.049,33.049
-46.475,29.225,33.077,33.077
-46.475,29.275,33.104,33.104
-46.475,29.325,33.131,33.131
-46.475,29.375,33.158,33.158
-46.425,29.425,33.144,33.144
-46.425,29.475,33.172,33.172
-46.425,29.525,33.199,33.199
-46.425,29.575,33.227,33.227
-46.375,29.625,33.213,33.213
-46.375,29.675,33.24,33.24
-46.375,29.725,33.268,33.268
-46.375,29.775,33.296,33.296
-46.375,29.825,33.324,33.324
-46.325,29.875,33.31,33.31
-46.325,29.925,33.338,33.338
-46.325,29.975,33.365,33.365
-46.325,30.025,33.393,33.393
-46.275,30.075,33.38,33.38
-46.275,30.125,33.408,33.408
-46.275,30.175,33.436,33.436
-46.275,30.225,33.464,33.464
-46.225,30.275,33.451,33.451
-46.225,30.325,33.479,33.479
-46.225,30.375,33.508,33.508
-46.225,30.425,33.536,33.536
-46.175,30.475,33.523,33.523
-46.175,30.525,33.552,33.552
-46.175,30.575,33.58,33.58
-46.175,30.625,33.609,33.609
-46.125,30.675,33.597,33.597
-46.125,30.725,33.625,33.625
-46.125,30.775,33.654,33.654
-46.125,30.825,33.683,33.683
-46.125,30.875,33.712,33.712
-46.075,30.925,33.7,33.7
-46.075,30.975,33.729,33.729
-46.075,31.025,33.758,33.758
-46.075,31.075,33.787,33.787
