# x_m,y_m,w_tr_right_m,w_tr_left_m
2.9900,1.5900,0.7517,0.7517
3.0400,1.6400,0.8000,0.8000
3.0900,1.6400,0.8000,0.8000
3.1400,1.6400,0.8000,0.8000
3.1900,1.6400,0.8000,0.8000
3.2400,1.6900,0.8246,0.8246
3.2900,1.6900,0.8382,0.8382
3.3400,1.6900,0.8246,0.8246
3.3900,1.6900,0.8139,0.8139
3.4400,1.7400,0.8500,0.8500
3.4900,1.7400,0.8382,0.8382
3.5400,1.7900,0.8500,0.8500
3.5900,1.7900,0.8500,0.8500
3.6400,1.8400,0.8500,0.8500
3.6900,1.8400,0.8500,0.8500
3.7400,1.8400,0.8276,0.8276
3.7900,1.8900,0.8544,0.8544
3.8400,1.9400,0.8602,0.8602
3.8900,1.9400,0.8732,0.8732
3.9400,1.9900,0.8746,0.8746
3.9900,2.0400,0.8602,0.8602
4.0400,2.0400,0.8746,0.8746
4.0900,2.0900,0.8846,0.8846
4.1400,2.1400,0.8846,0.8846
4.1900,2.1900,0.8846,0.8846
4.2400,2.2400,0.8846,0.8846
4.2900,2.2900,0.8846,0.8846
4.3400,2.3400,0.8846,0.8846
4.3900,2.3400,0.8846,0.8846
4.4400,2.3900,0.8846,0.8846
4.4900,2.4400,0.8846,0.8846
4.5400,2.4900,0.8902,0.8902
4.5900,2.5400,0.9014,0.9014
4.6400,2.5900,0.9179,0.9179
4.6900,2.6400,0.9220,0.9220
4.7400,2.6900,0.9301,0.9301
4.7900,2.7400,0.9434,0.9434
4.8400,2.7900,0.9552,0.9552
4.8900,2.8400,0.9605,0.9605
4.9400,2.8900,0.9708,0.9708
4.9900,2.9400,0.9862,0.9862
5.0400,2.9900,0.9925,0.9925
5.0900,3.0400,1.0000,1.0000
5.1400,3.0900,1.0000,1.0000
5.1900,3.1400,0.9925,0.9925
5.1900,3.1900,1.0000,1.0000
5.2400,3.2400,1.0124,1.0124
5.2900,3.2900,1.0062,1.0062
5.2900,3.3400,1.0000,1.0000
5.3400,3.3900,1.0062,1.0062
5.3400,3.4400,0.9862,0.9862
5.3900,3.4900,0.9823,0.9823
5.3900,3.5400,0.9849,0.9849
5.4400,3.5900,0.9513,0.9513
