# x_m,y_m,w_tr_right_m,w_tr_left_m
-39.0750,12.9250,22.7372,22.7372
-39.0750,12.9750,22.7344,22.7344
-39.0750,13.0250,22.7317,22.7317
-39.0750,13.0750,22.7291,22.7291
-39.0750,13.1250,22.7266,22.7266
-39.0750,13.1750,22.7243,22.7243
-39.0750,13.2250,22.7220,22.7220
-39.0750,13.2750,22.7199,22.7199
-39.0750,13.3250,22.7178,22.7178
-39.0750,13.3750,22.7159,22.7159
-39.0750,13.4250,22.7141,22.7141
-39.0750,13.4750,22.7124,22.7124
-39.0750,13.5250,22.7108,22.7108
-39.0750,13.5750,22.7093,22.7093
-39.0750,13.6250,22.7079,22.7079
-39.0750,13.6750,22.7067,22.7067
-39.0750,13.7250,22.7055,22.7055
-39.0750,13.7750,22.7045,22.7045
-39.0750,13.8250,22.7035,22.7035
-39.0750,13.8750,22.7027,22.7027
-39.0750,13.9250,22.7020,22.7020
-39.0750,13.9750,22.7014,22.7014
-39.0750,14.0250,22.7009,22.7009
-39.0750,14.0750,22.7005,22.7005
-39.0750,14.1250,22.7002,22.7002
-39.0750,14.1750,22.7001,22.7001
-39.0750,14.2250,22.7000,22.7000
-39.0750,14.2750,22.7000,22.7000
-39.0750,14.3250,22.7001,22.7001
-39.0750,14.3750,22.7002,22.7002
-39.0750,14.4250,22.7005,22.7005
-39.0750,14.4750,22.7009,22.7009
-39.0750,14.5250,22.7014,22.7014
-39.0750,14.5750,22.7020,22.7020
-39.0750,14.6250,22.7027,22.7027
-39.0750,14.6750,22.7035,22.7035
-39.0750,14.7250,22.7045,22.7045
-39.0750,14.7750,22.7055,22.7055
-39.0750,14.8250,22.7067,22.7067
-39.0750,14.8750,22.7079,22.7079
-39.0750,14.9250,22.7093,22.7093
-39.0750,14.9750,22.7108,22.7108
-39.0750,15.0250,22.7124,22.7124
-39.0750,15.0750,22.7141,22.7141
-39.0750,15.1250,22.7159,22.7159
-39.0750,15.1750,22.7178,22.7178
-39.0750,15.2250,22.7199,22.7199
-39.0750,15.2750,22.7220,22.7220
-39.0750,15.3250,22.7243,22.7243
-39.0750,15.3750,22.7266,22.7266
-39.0750,15.4250,22.7291,22.7291
-39.0750,15.4750,22.7317,22.7317
-39.0750,15.5250,22.7344,22.7344
-39.0750,15.5750,22.7372,22.7372
-39.0750,15.6250,22.7401,22.7401
-39.0750,15.6750,22.7431,22.7431
-39.0750,15.7250,22.7463,22.7463
-39.0750,15.7750,22.7495,22.7495
-39.0750,15.8250,22.7529,22.7529
-39.0750,15.8750,22.7563,22.7563
-39.0750,15.9250,22.7599,22.7599
-39.0750,15.9750,22.7636,22.7636
-39.0750,16.0250,22.7674,22.7674
-39.0750,16.0750,22.7713,22.7713
-39.0750,16.1250,22.7753,22.7753
-39.0750,16.1750,22.7794,22.7794
-39.0750,16.2250,22.7836,22.7836
-39.0750,16.2750,22.7879,22.7879
-39.0750,16.3250,22.7924,22.7924
-39.0750,16.3750,22.7969,22.7969
-39.0750,16.4250,22.8016,22.8016
-39.0750,16.4750,22.8064,22.8064
-39.0750,16.5250,22.8112,22.8112
-39.0750,16.5750,22.8162,22.8162
-39.0750,16.6250,22.8213,22.8213
-39.0750,16.6750,22.8265,22.8265
-39.0750,16.7250,22.8318,22.8318
-39.0750,16.7750,22.8373,22.8373
-39.0750,16.8250,22.8428,22.8428
-39.0750,16.8750,22.8484,22.8484
-39.0750,16.9250,22.8542,22.8542
-39.0750,16.9750,22.8600,22.8600
-39.0750,17.0250,22.8660,22.8660
-39.0750,17.0750,22.8720,22.8720
-39.0750,17.1250,22.8782,22.8782
-39.0750,17.1750,22.8845,22.8845
-39.0750,17.2250,22.8909,22.8909
-39.0750,17.2750,22.8974,22.8974
-39.0750,17.3250,22.9040,22.9040
-39.0750,17.3750,22.9107,22.9107
-39.0750,17.4250,22.9175,22.9175
-39.0750,17.4750,22.9244,22.9244
-39.0750,17.5250,22.9315,22.9315
-39.0750,17.5750,22.9386,22.9386
-39.0750,17.6250,22.9459,22.9459
-39.0750,17.6750,22.9532,22.9532
-39.0750,17.7250,22.9607,22.9607
-39.0750,17.7750,22.9682,22.9682
-39.0750,17.8250,22.9759,22.9759
-39.0750,17.8750,22.9837,22.9837
-39.0750,17.9250,22.9916,22.9916
-39.0750,17.9750,22.9996,22.9996
-39.0750,18.0250,23.0077,23.0077
-39.0750,18.0750,23.0159,23.0159
-39.0750,18.1250,23.0242,23.0242
-39.0750,18.1750,23.0326,23.0326
-39.0750,18.2250,23.0411,23.0411
-39.0750,18.2750,23.0497,23.0497
-39.0750,18.3250,23.0585,23.0585
-39.0750,18.3750,23.0673,23.0673
-39.0750,18.4250,23.0762,23.0762
-39.0750,18.4750,23.0853,23.0853
-39.0750,18.5250,23.0944,23.0944
-39.0750,18.5750,23.1037,23.1037
-39.0750,18.6250,23.1130,23.1130
-39.0750,18.6750,23.1225,23.1225
-39.0750,18.7250,23.1321,23.1321
-39.0750,18.7750,23.1417,23.1417
-39.0750,18.8250,23.1515,23.1515
-39.0750,18.8750,23.1614,23.1614
-39.0750,18.9250,23.1714,23.1714
-39.0750,18.9750,23.1815,23.1815
-39.0750,19.0250,23.1916,23.1916
-39.0750,19.0750,23.2019,23.2019
-39.0750,19.1250,23.2123,23.2123
-39.0750,19.1750,23.2228,23.2228
-39.0750,19.2250,23.2334,23.2334
-39.0750,19.2750,23.2441,23.2441
-39.0750,19.3250,23.2549,23.2549
-39.0750,19.3750,23.2659,23.2659
-39.0750,19.4250,23.2769,23.2769
-39.0750,19.4750,23.2880,23.2880
-39.0750,19.5250,23.2992,23.2992
-39.0750,19.5750,23.3105,23.3105
-39.0750,19.6250,23.3219,23.3219
-39.0750,19.6750,23.3335,23.3335
-39.0750,19.7250,23.3451,23.3451
-39.0750,19.7750,23.3568,23.3568
-39.0750,19.8250,23.3686,23.3686
-39.0750,19.8750,23.3805,23.3805
-39.0750,19.9250,23.3926,23.3926
-39.0750,19.9750,23.4047,23.4047
-39.0750,20.0250,23.4169,23.4169
-39.0750,20.0750,23.4293,23.4293
-39.0750,20.1250,23.4417,23.4417
-39.0750,20.1750,23.4542,23.4542
-39.0750,20.2250,23.4668,23.4668
-39.0750,20.2750,23.4796,23.4796
-39.0750,20.3250,23.4924,23.4924
-39.0750,20.3750,23.5053,23.5053
-39.0750,20.4250,23.5183,23.5183
-39.0750,20.4750,23.5315,23.5315
-39.0750,20.5250,23.5447,23.5447
-39.0750,20.5750,23.5580,23.5580
-39.0750,20.6250,23.5714,23.5714
-39.0750,20.6750,23.5850,23.5850
-39.0750,20.7250,23.5986,23.5986
-39.0750,20.7750,23.6123,23.6123
-39.0750,20.8250,23.6261,23.6261
-39.0750,20.8750,23.6400,23.6400
-39.0750,20.9250,23.6540,23.6540
-39.0750,20.9750,23.6681,23.6681
-39.0750,21.0250,23.6823,23.6823
-39.0750,21.0750,23.6966,23.6966
-39.0750,21.1250,23.7110,23.7110
-39.0750,21.1750,23.7255,23.7255
-39.0750,21.2250,23.7401,23.7401
-39.0750,21.2750,23.7548,23.7548
-39.0750,21.3250,23.7696,23.7696
-39.0750,21.3750,23.7844,23.7844
-39.0750,21.4250,23.7994,23.7994
-39.0750,21.4750,23.8145,23.8145
-39.0750,21.5250,23.8297,23.8297
-39.0750,21.5750,23.8449,23.8449
-39.0750,21.6250,23.8603,23.8603
-39.0750,21.6750,23.8757,23.8757
-39.0750,21.7250,23.8913,23.8913
-39.0750,21.7750,23.9069,23.9069
-39.0750,21.8250,23.9226,23.9226
-39.0750,21.8750,23.9385,23.9385
-39.0750,21.9250,23.9544,23.9544
-39.0750,21.9750,23.9704,23.9704
-39.0750,22.0250,23.9865,23.9865
-39.0750,22.0750,24.0027,24.0027
-39.0750,22.1250,24.0190,24.0190
-39.0750,22.1750,24.0354,24.0354
-39.0750,22.2250,24.0519,24.0519
-39.0750,22.2750,24.0684,24.0684
-39.0750,22.3250,24.0851,24.0851
-39.0750,22.3750,24.1019,24.1019
-39.0750,22.4250,24.1187,24.1187
-39.0750,22.4750,24.1357,24.1357
-39.0750,22.5250,24.1527,24.1527
-39.0750,22.5750,24.1698,24.1698
-39.0750,22.6250,24.1870,24.1870
-39.0750,22.6750,24.2043,24.2043
-39.0750,22.7250,24.2217,24.2217
-39.0750,22.7750,24.2392,24.2392
-39.0750,22.8250,24.2568,24.2568
-39.0750,22.8750,24.2745,24.2745
-39.0750,22.9250,24.2922,24.2922
-39.0750,22.9750,24.3101,24.3101
-39.0750,23.0250,24.3280,24.3280
-39.0750,23.0750,24.3460,24.3460
-39.0750,23.1250,24.3642,24.3642
-39.0750,23.1750,24.3824,24.3824
-39.0750,23.2250,24.4007,24.4007
-39.0750,23.2750,24.4190,24.4190
-39.0750,23.3250,24.4375,24.4375
-39.0750,23.3750,24.4561,24.4561
-39.0750,23.4250,24.4747,24.4747
-39.0750,23.4750,24.4935,24.4935
-39.0750,23.5250,24.5123,24.5123
-39.0750,23.5750,24.5312,24.5312
-39.0750,23.6250,24.5502,24.5502
-39.0750,23.6750,24.5693,24.5693
-39.0750,23.7250,24.5885,24.5885
-39.0750,23.7750,24.6077,24.6077
-39.0750,23.8250,24.6271,24.6271
-39.0750,23.8750,24.6465,24.6465
-39.0750,23.9250,24.6660,24.6660
-39.0750,23.9750,24.6856,24.6856
-39.0750,24.0250,24.7053,24.7053
-39.0750,24.0750,24.7251,24.7251
-39.0750,24.1250,24.7449,24.7449
-39.0750,24.1750,24.7649,24.7649
-39.0750,24.2250,24.7849,24.7849
-39.0750,24.2750,24.8050,24.8050
-39.0750,24.3250,24.8252,24.8252
-39.0750,24.3750,24.8455,24.8455
-39.0750,24.4250,24.8659,24.8659
-39.0750,24.4750,24.8863,24.8863
-39.0750,24.5250,24.9069,24.9069
-39.0750,24.5750,24.9275,24.9275
-39.0750,24.6250,24.9482,24.9482
-39.0750,24.6750,24.9690,24.9690
-39.0750,24.7250,24.9898,24.9898
-39.0750,24.7750,25.0108,25.0108
-39.0750,24.8250,25.0318,25.0318
-39.0750,24.8750,25.0529,25.0529
-39.0750,24.9250,25.0741,25.0741
-39.0750,24.9750,25.0954,25.0954
-39.0750,25.0250,25.1168,25.1168
-39.0750,25.0750,25.1382,25.1382
-39.0750,25.1250,25.1597,25.1597
-39.0750,25.1750,25.1813,25.1813
-39.0750,25.2250,25.2030,25.2030
-39.0750,25.2750,25.2248,25.2248
-39.0750,25.3250,25.2466,25.2466
-39.0750,25.3750,25.2686,25.2686
-39.0750,25.4250,25.2906,25.2906
-39.0750,25.4750,25.3126,25.3126
-39.0750,25.5250,25.3348,25.3348
-39.0750,25.5750,25.3571,25.3571
-39.0750,25.6250,25.3794,25.3794
-39.0750,25.6750,25.4018,25.4018
